Product ID,Economy Price,Economy No Of Days,Fast Price,Fast No Of Days,Faster Price,Faster No Of Days,Crazy Fast Price,Crazy fast No Of Days,Labels,Quantity
41,$38.93,February 3 - 5,$48.67,January 30 - 31,$54.51,January 30,$77.87,January 28 - 29,"PRINT SIZE=2.5x3.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$38.93,February 3 - 5,$48.67,January 30 - 31,$54.51,January 30,$77.87,January 28 - 29,"PRINT SIZE=2.5x3.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$57.56,January 30 - 31,$64.47,January 30,$95.54,January 28 - 29,"PRINT SIZE=2.5x3.5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 3 - 5,$57.56,January 30 - 31,$64.47,January 30,$95.54,January 28 - 29,"PRINT SIZE=2.5x3.5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$37.82,February 3 - 5,$47.28,January 30 - 31,$52.95,January 30,$75.64,January 28 - 29,"PRINT SIZE=2.5x4, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$37.23,February 3 - 5,$46.53,January 30 - 31,$52.12,January 30,$74.45,January 28 - 29,"PRINT SIZE=2.5x4, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$37.04,February 3 - 5,$46.31,January 30 - 31,$51.86,January 30,$74.09,January 28 - 29,"PRINT SIZE=2.5x4, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$37.04,February 3 - 5,$46.31,January 30 - 31,$51.86,January 30,$74.09,January 28 - 29,"PRINT SIZE=2.5x4, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$30.15,February 3 - 5,$55.27,January 30 - 31,$61.90,January 30,$91.69,January 28 - 29,"PRINT SIZE=2.5x4, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$30.15,February 3 - 5,$55.27,January 30 - 31,$61.90,January 30,$91.69,January 28 - 29,"PRINT SIZE=2.5x4, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$36.55,February 3 - 5,$45.69,January 30 - 31,$51.17,January 30,$73.10,January 28 - 29,"PRINT SIZE=2.5x4.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$35.96,February 3 - 5,$44.95,January 30 - 31,$50.34,January 30,$71.91,January 28 - 29,"PRINT SIZE=2.5x4.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$35.78,February 3 - 5,$44.72,January 30 - 31,$50.09,January 30,$71.55,January 28 - 29,"PRINT SIZE=2.5x4.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
