Product ID,Economy Price,Economy No Of Days,Fast Price,Fast No Of Days,Faster Price,Faster No Of Days,Crazy Fast Price,Crazy fast No Of Days,Labels,Quantity
41,$50.43,February 17 - 19,$63.04,February 13 - 14,$70.60,February 13,$100.86,February 11 - 12,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.92,February 17 - 19,$62.40,February 13 - 14,$69.88,February 13,$99.83,February 11 - 12,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.76,February 17 - 19,$62.20,February 13 - 14,$69.67,February 13,$99.52,February 11 - 12,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$49.76,February 17 - 19,$62.20,February 13 - 14,$69.67,February 13,$99.52,February 11 - 12,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 17 - 19,$69.26,February 13 - 14,$77.57,February 13,$115.28,February 11 - 12,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 17 - 19,$69.26,February 13 - 14,$77.57,February 13,$115.28,February 11 - 12,"PRINT SIZE=2.5x2, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$41.52,February 17 - 19,$51.90,February 13 - 14,$58.13,February 13,$83.04,February 11 - 12,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$41.03,February 17 - 19,$51.29,February 13 - 14,$57.45,February 13,$82.07,February 11 - 12,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Semi Gloss Sticker (Permanent), COATING=None, COLOR CRITICAL=0, Corner Rounding=0",25
41,$40.88,February 17 - 19,$51.10,February 13 - 14,$57.23,February 13,$81.76,February 11 - 12,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$40.88,February 17 - 19,$51.10,February 13 - 14,$57.23,February 13,$81.76,February 11 - 12,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=60 lb Uncoated Sticker (Permanent), COATING=, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 17 - 19,$58.43,February 13 - 14,$65.45,February 13,$97.13,February 11 - 12,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
41,$28.35,February 17 - 19,$58.43,February 13 - 14,$65.45,February 13,$97.13,February 11 - 12,"PRINT SIZE=2.5x2.5, SIDES=Single Sided (4/0), PAPER OR STOCK=6 mil Vinyl Sticker (Permanent), COATING=High Gloss UV on ONE SIDE, COLOR CRITICAL=0, Corner Rounding=0",25
