Product ID,Economy Price,Economy Sale Price,Economy No Of Days,Fast Price,Fast Sale Price,Fast No Of Days,Faster Price,Faster Sale Price,Faster No Of Days,Crazy Fast Price,Crazy fast sale price,Crazy fast No Of Days,Labels,Quantity
12,$118.80,$117.40,November 27 - December 4,$125.81,$124.06,November 25 - 27,$130.02,$128.06,November 25 - 26,$149.45,$146.51,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,$118.80,$117.40,November 27 - December 4,$125.81,$124.06,November 25 - 27,$130.02,$128.06,November 25 - 26,$149.45,$146.51,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,$118.80,$117.40,November 27 - December 4,$125.81,$124.06,November 25 - 27,$130.02,$128.06,November 25 - 26,$149.45,$146.51,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
12,$117.84,$116.49,November 27 - December 4,$124.61,$122.92,November 25 - 27,$128.68,$126.78,November 25 - 26,$147.43,$144.60,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,$117.84,$116.49,November 27 - December 4,$124.61,$122.92,November 25 - 27,$128.68,$126.78,November 25 - 26,$147.43,$144.60,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,$117.84,$116.49,November 27 - December 4,$124.61,$122.92,November 25 - 27,$128.68,$126.78,November 25 - 26,$147.43,$144.60,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=High Gloss UV on ONE SIDE, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
12,$119.08,$117.66,November 27 - December 4,$141.55,$139.01,November 25 - 27,$165.26,$161.53,November 25 - 26,Please Call,Please Call,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=Matte Aqueous, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,$119.08,$117.66,November 27 - December 4,$141.55,$139.01,November 25 - 27,$165.26,$161.53,November 25 - 26,Please Call,Please Call,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=Matte Aqueous, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,$119.08,$117.66,November 27 - December 4,$141.55,$139.01,November 25 - 27,$165.26,$161.53,November 25 - 26,Please Call,Please Call,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=16pt C2S Cardstock, COATING=Matte Aqueous, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
12,Please Call,Please Call,November 27 - December 4,Please Call,Please Call,November 25 - 27,Please Call,Please Call,November 25 - 26,Please Call,Please Call,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Front Left",25
12,Please Call,Please Call,November 27 - December 4,Please Call,Please Call,November 25 - 27,Please Call,Please Call,November 25 - 26,Please Call,Please Call,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=Back Left",25
12,Please Call,Please Call,November 27 - December 4,Please Call,Please Call,November 25 - 27,Please Call,Please Call,November 25 - 26,Please Call,Please Call,November 21 - 25,"PRINT SIZE=4.25x11, SIDES=Single Sided (4/0), PAPER OR STOCK=12pt C2S Cardstock, COATING=High Gloss UV, Variable Data=0, Door Hanger Die Cut=0, Slit Position=No Preference",25
